time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.24386186508e-07,7.01371498159e-07,10.0010427634,0.000600406172592,0.00032681275918,0.0,-2.7536934164e-05,5.58610467912e-05,0.0347579749407,0.0248673362281,0.0145716350265,0.0,415.6061116076462,416.8810145167291,414.03464071117173,416.21625237604087
0.12000000000000001,-1.08748857662e-05,2.05709227434e-05,10.0037835162,0.00253309663315,0.00110967126594,0.0,-0.00039924964752,0.000764042333094,0.0565991414959,0.0438838616643,0.00981087171915,0.0,411.4745949019015,411.0528976718778,410.6118039331175,412.29551749787566
0.18,-6.15205013182e-05,0.000132185796016,10.0113217491,0.00503585761297,0.0018260233253,0.0,-0.00135949443596,0.00323327427607,0.194660012622,0.0369736856453,0.0158880421863,0.0,449.24150850407085,449.7337955178918,448.44070845344856,447.8800593693776
0.23999999999999996,-0.00018640746904,0.00044299357664,10.0267911871,0.00724363101401,0.00310205975564,0.0,-0.00292323277938,0.00736121309799,0.320958551155,0.036439000562,0.0302951464831,0.0,444.5037311032488,445.6826185613602,445.37890163644505,445.3357981810314
0.3,-0.0004431998354,0.00106639689344,10.0520448276,0.00998997001191,0.00498018113798,0.0,-0.00585217915542,0.0137117264985,0.520756035691,0.0598622204288,0.0332430012884,0.0,468.0619947417503,468.29160518024594,466.1873267815107,468.0147332331299
0.36000000000000004,-0.000906794422806,0.00211302099494,10.0866383543,0.0136866138245,0.00653996946117,0.0,-0.00979204211167,0.0215533039491,0.632300487387,0.0648951311048,0.00473145668759,0.0,442.498536702676,440.14568135465976,440.1988819518309,440.6178520974927
0.4200000000000001,-0.00162185072771,0.00368500023212,10.1262730025,0.0173946791832,0.00666448389612,0.0,-0.0140630660665,0.0312095530319,0.688815992251,0.0547601238466,-0.00385148907323,0.0,423.9077024741279,423.16959122660205,423.56146252725017,422.691998809345
0.48000000000000015,-0.0026182775116,0.00597245832013,10.1729853264,0.0207292738957,0.00647563887005,0.0,-0.0191265385362,0.0454133998825,0.868135058944,0.0571608192416,-0.00177510862672,0.0,462.2925156194316,462.45613686006124,461.40407272173326,461.59549760311825
0.5400000000000001,-0.00391609703124,0.00919365689107,10.2306521408,0.0240411732143,0.0065275748102,0.0,-0.0241305424082,0.0623434968416,1.05393017248,0.0509539195094,0.0056838005199,0.0,463.7166751024309,464.3021422620681,464.5637060404221,464.078728311221
0.6000000000000002,-0.00550901760008,0.0134752435558,10.2982122856,0.0267089796516,0.00701916119838,0.0,-0.0290115499886,0.0806884298683,1.19792570252,0.0265065747132,0.0127908974102,0.0,451.52535674838873,452.098176626317,452.8602483810781,450.8907428297194
0.6600000000000003,-0.00743910528386,0.0190313530394,10.3788673505,0.0288254506289,0.00741569456401,0.0,-0.035404011054,0.104752995455,1.49023394758,0.0487020704473,-0.0101364215693,0.0,497.87519071696113,496.1950186171884,493.49638936692384,495.13220360492784
0.7200000000000003,-0.00970809330283,0.0258984715793,10.4704428352,0.0315290704321,0.00657125524193,0.0,-0.0401586156831,0.124424210589,1.5621775941,0.0365484148249,-0.0234189952657,0.0,430.3951943512769,429.2697244819966,431.1386661098221,430.1118957859583
0.7800000000000004,-0.0122633084552,0.0340948009059,10.5693981316,0.0338413742189,0.00592767793926,0.0,-0.0449066510991,0.149033019036,1.73607536599,0.0422468210845,0.00696527975286,0.0,460.12554830283113,462.5245730261078,462.92977592905476,463.378572513254
0.8400000000000004,-0.0150544733377,0.0435883458052,10.6719819618,0.0364803780721,0.00649894818075,0.0,-0.0481723350422,0.167626156649,1.68345633327,0.0472471647153,0.0141971261528,0.0,388.06248162738024,388.7405864236681,388.8415519564539,389.31106580730017
0.9000000000000005,-0.0180912365937,0.0544545807279,10.7771885444,0.0389732110975,0.00792230056931,0.0,-0.0531796022567,0.194864113353,1.8232030966,0.0265976277815,0.0380359671831,0.0,451.9485905694015,453.86582816141686,452.4425408908426,450.7779294742165
0.9600000000000005,-0.0214511131451,0.066940860288,10.8891614428,0.040465027904,0.0102280967679,0.0,-0.0590444647124,0.221492968075,1.90907664614,0.0211486255517,0.0392062661585,0.0,435.4533741314921,435.5520092019558,436.441514531402,435.98662499690056
1.0200000000000005,-0.0251845722602,0.0809577133864,11.0039204438,0.0420985083055,0.0125421375329,0.0,-0.0656101617105,0.245863492594,1.91620154315,0.0372221832861,0.037258214907,0.0,409.1345473693273,408.9619472300506,410.7829392576349,412.2059815247601
1.0800000000000005,-0.0293865216656,0.0965776008856,11.1216700568,0.043987763274,0.0150262023093,0.0,-0.0746920954453,0.275002544127,2.00861186891,0.0164119878295,0.048610734956,0.0,437.7055744950243,438.65020619937695,439.3344844026417,437.6060842590129
1.1400000000000006,-0.0342205708901,0.114076433689,11.2471530653,0.0451548124809,0.0177615096772,0.0,-0.0867548942518,0.308397159814,2.17384082633,0.0249242311358,0.038732823708,0.0,461.9076997676374,461.12921596768444,460.64429003878365,461.31683830072063
1.2000000000000006,-0.0398218841794,0.133566432822,11.3816603729,0.046462051655,0.0201738537786,0.0,-0.100205163631,0.341406225933,2.30945538342,0.0146312969875,0.0429991287389,0.0,453.0509860611747,453.3946617008223,452.96542809219795,452.13696891562563
1.2600000000000007,-0.0462409784622,0.154966091431,11.5222362288,0.0469688488519,0.0227863173908,0.0,-0.114014179719,0.371977873987,2.3762566732,-0.00830842461379,0.0446031640645,0.0,431.36585498223747,431.5024052726044,433.1344877576127,431.2009257767624
1.3200000000000007,-0.0535760871627,0.178278592163,11.6683534316,0.047774611418,0.0252971413144,0.0,-0.130755986743,0.405125534423,2.49405351872,0.0385823555499,0.0356717742994,0.0,449.2995242938955,448.575767419901,445.7194840679913,449.5352371720607
1.3800000000000008,-0.0619900385069,0.203648689731,11.8224246597,0.0505148552203,0.0275945190197,0.0,-0.14994320252,0.440803783421,2.64129748745,0.0570130026999,0.0430682310307,0.0,457.82915467291946,458.41791386500904,456.99019624491063,458.4580248921308
1.4400000000000008,-0.0715588559413,0.231134447786,11.9835797506,0.0543208993481,0.0296900122871,0.0,-0.169256442886,0.475739103839,2.73029514259,0.073895730403,0.00893164532958,0.0,442.0411482463023,439.21958026111287,439.86040860888596,441.25920616791694
1.5000000000000009,-0.0824456849054,0.261026598946,12.1542329989,0.0589804903653,0.0297715520932,0.0,-0.193668034398,0.5211818377,2.95754044904,0.0842845909601,-0.0215096366347,0.0,484.53999184754423,482.2460965888586,482.05086216838396,482.83949714589215
1.560000000000001,-0.0947462002126,0.293671081881,12.3370018055,0.0635233195261,0.0285294307127,0.0,-0.216192092913,0.567493048615,3.13424045879,0.0470034187836,-0.0191339670064,0.0,469.5642486231405,469.74854561984165,470.42127373321233,467.5293151861547
1.620000000000001,-0.108368634783,0.329183704696,12.5302993323,0.0663093632015,0.0268947773795,0.0,-0.23772927338,0.616541361997,3.3084908611,0.0452706934359,-0.0530421722159,0.0,470.9282228727119,468.2976730456382,469.696527089777,469.56327735035273
1.680000000000001,-0.123221580426,0.367662477516,12.7334509675,0.0695475322322,0.0238810393372,0.0,-0.257017196248,0.666380712244,3.4627463892,0.0673127947987,-0.0451265625536,0.0,464.95502931745744,465.5732927437412,463.2610775917975,464.99279857038886
1.740000000000001,-0.139055396448,0.408873797307,12.941109575,0.0731306581808,0.0212658928894,0.0,-0.270547184049,0.707662429081,3.45918633152,0.0367606689582,-0.0406705556251,0.0,415.5715185729402,415.96073550863724,416.7044133857968,414.02746932956273
1.8000000000000012,-0.155713121038,0.45281902258,13.1512723921,0.0759352756275,0.0190142836622,0.0,-0.284471481798,0.757407400069,3.54594569182,0.0615737077248,-0.0318841199481,0.0,445.260606005189,445.97819597534703,443.3440935002963,445.3794638608207
1.8600000000000012,-0.173139641994,0.499710774587,13.3653530284,0.0794704824849,0.0178850013207,0.0,-0.296275717081,0.80597223976,3.5898970499,0.0530032975625,-0.000766947984995,0.0,430.54196641215447,433.1667366398745,432.44610354945587,431.72605946975114
1.9200000000000013,-0.191218931311,0.549402393185,13.5798456654,0.0827522264401,0.017858286501,0.0,-0.306366637875,0.850681467584,3.55991419833,0.0578810341991,0.00019056835186,0.0,408.64908252096734,408.7344423888889,406.48605604032286,406.925263399323
1.9800000000000013,-0.210020332495,0.602366758958,13.7989440458,0.0857484404302,0.0189480326264,0.0,-0.320415129065,0.915117634708,3.74272188855,0.0251014831649,0.0405389365404,0.0,473.2197166294969,476.3155783215255,476.77665906344913,474.26676752191923
2.0400000000000014,-0.229694963159,0.659240079234,14.0288129213,0.0876488577331,0.0209462076315,0.0,-0.335653493195,0.980791030104,3.91893400508,0.0423395926384,0.0120895415673,0.0,475.2410412257316,473.0556134151697,474.15769274892006,475.48049470867727
2.1000000000000014,-0.250307204204,0.720032371428,14.2684837505,0.0908224554025,0.0222122823319,0.0,-0.351524290275,1.04587773367,4.06950529184,0.0683546351773,0.0348184406654,0.0,467.4868997565082,469.254697670865,466.9352230978869,468.9620238158902
2.1600000000000015,-0.271817761651,0.784451283706,14.5133406085,0.0952197596018,0.0243161649295,0.0,-0.365682795207,1.10178486467,4.09223656091,0.0816728611319,0.0355526479472,0.0,428.41666764457585,428.47967354649086,429.85957811775455,430.99111122926473
2.2200000000000015,-0.294236677542,0.852381051548,14.7603351708,0.100095262745,0.026851355191,0.0,-0.381833188854,1.1629705195,4.14065168672,0.0804168173815,0.0530884481787,0.0,437.706467727037,439.1644985118673,437.81945185786225,437.7203733943514
2.2800000000000016,-0.317700438758,0.924160504777,15.0110886464,0.105213947332,0.0298230759111,0.0,-0.40058942637,1.2301238248,4.21741188193,0.0936380725019,0.0412424616699,0.0,449.1136279088648,448.15319077859806,446.1658718350619,447.2499731026133
2.3400000000000016,-0.342349216186,1.0000801933,15.2665153234,0.111001779563,0.032322944301,0.0,-0.4212738484,1.30104712192,4.29639524336,0.101585119308,0.0424951870714,0.0,449.26073838144566,449.3632164758669,448.7570600721655,449.4095453923701
2.4000000000000017,-0.368367309685,1.08063682092,15.5290155859,0.118294535733,0.0347493419784,0.0,-0.446251172629,1.38484178553,4.45284958371,0.145424423788,0.0359765409376,0.0,473.8392602018856,473.33855730565125,472.14999316194826,475.53177110944296
2.4600000000000017,-0.395874572637,1.16617729555,15.7991016875,0.127753890641,0.0371829930838,0.0,-0.470878176943,1.46737092351,4.54943696339,0.174868809559,0.0484340493394,0.0,457.1267639187542,458.1192749052582,455.57662434284975,457.9472116939272
2.520000000000002,-0.425072971591,1.25741744125,16.0791720945,0.138221101723,0.0399062299197,0.0,-0.502708870471,1.57509418231,4.78498576194,0.173610970877,0.0384680635822,0.0,500.8901746130014,500.1657489891884,498.38261725234383,498.316337039484
2.580000000000002,-0.456001209238,1.35452900986,16.3673136661,0.149627072702,0.0420970666989,0.0,-0.528433471639,1.66292948518,4.81933103574,0.21123860606,0.0322884335739,0.0,441.1254847268344,440.61543787899603,440.5486775299551,443.6832788187392
2.640000000000002,-0.488415575469,1.45678022644,16.6552082991,0.162625095785,0.0438242386909,0.0,-0.552201166207,1.74648539393,4.77705910348,0.225670570287,0.0206552399863,0.0,418.28008793640646,417.2658804781807,415.8338292899951,417.1458435647902
2.700000000000002,-0.522293508266,1.5642973354,16.9407679308,0.176241862197,0.0449625893341,0.0,-0.577165807762,1.83852336015,4.74143027371,0.22937786424,0.0153749862954,0.0,419.37268615805664,418.9136925481237,419.96995699299777,420.3458179916724
2.760000000000002,-0.558007763951,1.67881713847,17.2311039939,0.19008574188,0.0463023487556,0.0,-0.613401868607,1.98020392241,4.93513043466,0.233304633978,0.0334994419248,0.0,490.8006820977401,492.1441542154081,491.83972245281547,492.17778166773564
2.820000000000002,-0.595786652247,1.80156035791,17.5299224341,0.204158207764,0.0484861920154,0.0,-0.646083611217,2.11251353075,5.02461203729,0.236901430679,0.0416398351809,0.0,463.915543952014,464.55491513686576,462.0620398552449,462.3980100921563
2.880000000000002,-0.635464581636,1.93206736582,17.8318669696,0.218009433673,0.05094332236,0.0,-0.676729102963,2.23890113115,5.03966583748,0.214668030097,0.0395405003353,0.0,442.2512693416504,442.079179857393,441.79486006954045,440.01052011913174
2.940000000000002,-0.67700849705,2.07032087811,18.1343112735,0.230631499075,0.0534590927416,0.0,-0.70827821857,2.37058839484,5.04133561267,0.199988998224,0.0463229103162,0.0,437.6792663009502,438.2444495035752,439.29421896486315,438.1191513809497
3.000000000000002,-0.72045357561,2.21652212186,18.4360960089,0.242229389324,0.0564005901313,0.0,-0.74013343625,2.50371589814,5.01779976866,0.174551858784,0.0539433728524,0.0,430.6001851263225,431.2460357304542,432.1893791161514,430.07679636160617
3.0600000000000023,-0.76580439339,2.37064274072,18.7354093138,0.252326107368,0.0604282172449,0.0,-0.771865247244,2.63441421572,4.95914408903,0.151215838356,0.0852939825294,0.0,417.87311980868327,420.6010449924643,421.50908009212054,419.51557734618314
3.1200000000000023,-0.813175497002,2.5329363084,19.0318732597,0.26164932185,0.0657456026457,0.0,-0.807608538345,2.77604697998,4.92269928468,0.162632958902,0.094561305085,0.0,427.5945739136748,428.390300548172,427.2347002057821,428.23094839490483
3.1800000000000024,-0.863268026419,2.7057571985,19.3330962566,0.271142005806,0.0712722059788,0.0,-0.86272929604,2.98536641635,5.11650278833,0.147463979368,0.0866957644143,0.0,501.3929486412452,500.8271769707544,500.84237529894295,499.75827956023414
3.2400000000000024,-0.916194887394,2.88908377106,19.6378082441,0.279917278803,0.0773594415529,0.0,-0.901958837969,3.12613893329,5.04044264001,0.143722036035,0.121092673541,0.0,417.13263975210634,420.13529108857546,418.03967749322743,417.7349299454124
3.3000000000000025,-0.97188784609,3.08206840008,19.9416931666,0.288922193363,0.0843080860308,0.0,-0.955125165364,3.30726343865,5.08820892907,0.160454687294,0.102322493718,0.0,460.57159961101667,459.0957201773646,459.2678706208,460.6134555274845
3.3600000000000025,-1.03113173613,3.28683692273,20.2509235474,0.298477093149,0.0905378701332,0.0,-1.02026500739,3.51897110098,5.2180895935,0.156722844098,0.10668334335,0.0,486.8996275679618,487.23416610006205,487.44535067891354,487.18796585629383
3.4200000000000026,-1.09421761143,3.50382586532,20.565716871,0.308421385781,0.0964873307401,0.0,-1.08315484836,3.71460608613,5.27400323566,0.179445534067,0.0765597955491,0.0,468.4511974942969,466.11000844884785,466.2438838521591,468.0404462740431
